Date : 2022-04-27 02:43:00
Directory : /Users/kadirnacar/github/security
Total : 544 files,  121256 codes, 23515 comments, 13101 blanks, all 157872 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |        234 |     49,988 |     11,852 |     10,333 |     72,173 |
| JSON               |         22 |     37,591 |          9 |         13 |     37,613 |
| JavaScript         |         73 |     13,851 |      4,898 |        229 |     18,978 |
| XML                |          7 |      4,833 |         64 |          5 |      4,902 |
| TypeScript         |         97 |      4,322 |      4,576 |        379 |      9,277 |
| TypeScript React   |         16 |      2,795 |         99 |        242 |      3,136 |
| Java               |         14 |      1,473 |      1,123 |        345 |      2,941 |
| C                  |          3 |      1,330 |        229 |        224 |      1,783 |
| reStructuredText   |          9 |      1,298 |         66 |        587 |      1,951 |
| YAML               |          4 |        962 |          4 |         33 |        999 |
| Go                 |          6 |        539 |         17 |         85 |        641 |
| C#                 |          9 |        524 |        202 |         81 |        807 |
| Markdown           |          9 |        452 |          0 |        179 |        631 |
| Properties         |          9 |        312 |          0 |        119 |        431 |
| Python             |          7 |        236 |        261 |        161 |        658 |
| Go Checksum File   |          1 |        230 |          0 |          1 |        231 |
| Batch              |          1 |        229 |          0 |         35 |        264 |
| HTML               |          2 |        115 |          0 |          3 |        118 |
| JSON with Comments |         10 |         77 |         97 |          5 |        179 |
| Docker             |          2 |         37 |          4 |         14 |         55 |
| Go Module File     |          1 |         27 |          0 |          4 |         31 |
| Shell Script       |          4 |         19 |         12 |         19 |         50 |
| pip requirements   |          1 |         13 |          0 |          1 |         14 |
| Ignore             |          2 |          3 |          1 |          3 |          7 |
| CSS                |          1 |          0 |          1 |          1 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                        |        544 |    121,256 |     23,515 |     13,101 |    157,872 |
| alpr                                                                                                                     |        312 |     61,740 |     13,825 |     12,095 |     87,660 |
| alpr/openalpr                                                                                                            |        308 |     61,580 |     13,825 |     12,062 |     87,467 |
| alpr/openalpr/doc                                                                                                        |         15 |      2,290 |        249 |        732 |      3,271 |
| alpr/openalpr/doc/source                                                                                                 |         12 |      2,047 |        248 |        693 |      2,988 |
| alpr/openalpr/runtime_data                                                                                               |         14 |      5,161 |         50 |        124 |      5,335 |
| alpr/openalpr/runtime_data/config                                                                                        |          9 |        312 |          0 |        119 |        431 |
| alpr/openalpr/runtime_data/region                                                                                        |          4 |      4,616 |         50 |          4 |      4,670 |
| alpr/openalpr/src                                                                                                        |        274 |     53,979 |     13,522 |     11,130 |     78,631 |
| alpr/openalpr/src/bindings                                                                                               |         54 |      4,068 |      1,589 |        872 |      6,529 |
| alpr/openalpr/src/bindings/csharp                                                                                        |         26 |      2,008 |        288 |        313 |      2,609 |
| alpr/openalpr/src/bindings/csharp/openalpr-net                                                                           |         14 |      1,267 |         72 |        231 |      1,570 |
| alpr/openalpr/src/bindings/csharp/openalprnet-cli                                                                        |          4 |        261 |         68 |         26 |        355 |
| alpr/openalpr/src/bindings/csharp/openalprnet-cli/Properties                                                             |          1 |         15 |         17 |          5 |         37 |
| alpr/openalpr/src/bindings/csharp/openalprnet-windemo                                                                    |          8 |        480 |        148 |         56 |        684 |
| alpr/openalpr/src/bindings/csharp/openalprnet-windemo/Properties                                                         |          3 |         59 |         49 |         20 |        128 |
| alpr/openalpr/src/bindings/go                                                                                            |          5 |        215 |         12 |         58 |        285 |
| alpr/openalpr/src/bindings/go/openalpr                                                                                   |          1 |        105 |          8 |         25 |        138 |
| alpr/openalpr/src/bindings/java                                                                                          |         17 |      1,588 |      1,186 |        395 |      3,169 |
| alpr/openalpr/src/bindings/java/src                                                                                      |         14 |      1,473 |      1,123 |        345 |      2,941 |
| alpr/openalpr/src/bindings/java/src/com                                                                                  |         13 |      1,428 |      1,121 |        332 |      2,881 |
| alpr/openalpr/src/bindings/java/src/com/openalpr                                                                         |         13 |      1,428 |      1,121 |        332 |      2,881 |
| alpr/openalpr/src/bindings/java/src/com/openalpr/jni                                                                     |         13 |      1,428 |      1,121 |        332 |      2,881 |
| alpr/openalpr/src/bindings/java/src/com/openalpr/jni/json                                                                |          6 |      1,165 |      1,112 |        242 |      2,519 |
| alpr/openalpr/src/bindings/python                                                                                        |          6 |        257 |        103 |        106 |        466 |
| alpr/openalpr/src/bindings/python/openalpr                                                                               |          2 |        122 |         78 |         39 |        239 |
| alpr/openalpr/src/daemon                                                                                                 |          6 |        973 |         54 |        215 |      1,242 |
| alpr/openalpr/src/misc_utilities                                                                                         |         11 |      1,609 |        209 |        532 |      2,350 |
| alpr/openalpr/src/misc_utilities/benchmarks2                                                                             |          5 |        467 |         43 |        153 |        663 |
| alpr/openalpr/src/openalpr                                                                                               |        160 |     34,752 |      8,855 |      6,513 |     50,120 |
| alpr/openalpr/src/openalpr/detection                                                                                     |         15 |        808 |        309 |        347 |      1,464 |
| alpr/openalpr/src/openalpr/edges                                                                                         |         10 |        891 |        232 |        402 |      1,525 |
| alpr/openalpr/src/openalpr/ocr                                                                                           |         18 |      1,312 |        439 |        492 |      2,243 |
| alpr/openalpr/src/openalpr/ocr/segmentation                                                                              |         12 |      1,111 |        342 |        401 |      1,854 |
| alpr/openalpr/src/openalpr/postprocess                                                                                   |          4 |        494 |        100 |        139 |        733 |
